category,rating_level,keyword,template_text,variation_group
ATTITUDE,TE,GENERAL,"Hôm nay {Student} rất mất tập trung, hay làm việc riêng và không chú ý vào bài giảng. Cô phải nhắc nhở nhiều lần nhưng con vẫn không cải thiện.",1
ATTITUDE,TE,GENERAL,"{Student} học trong tâm trạng uể oải, liên tục ngáp và không có hứng thú với bài học. Điều này ảnh hưởng nghiêm trọng đến hiệu quả tiếp thu.",2
ATTITUDE,TE,GENERAL,Con thể hiện thái độ thiếu hợp tác trong giờ học. {Student} không tham gia các hoạt động nhóm và từ chối trả lời khi được gọi tên.,3
ATTITUDE,TE,GENERAL,"Thái độ học tập của {Student} hôm nay rất kém. Con hay nói chuyện riêng, không làm bài tập và tỏ ra khó chịu khi được nhắc nhở.",4
ATTITUDE,TE,GENERAL,{Student} đến lớp trong trạng thái buồn ngủ và không thể tập trung. Con gục đầu nhiều lần và không theo kịp tiến độ bài giảng.,5
ATTITUDE,TE,GENERAL,"Hôm nay con học rất tâm bất tại tâm, hay nhìn ra ngoài cửa sổ hoặc mải mê với đồ dùng cá nhân. {Student} cần điều chỉnh thái độ nghiêm túc hơn.",6
ATTITUDE,TE,GENERAL,"{Student} thể hiện sự chán nản rõ rệt với bài học. Con không ghi chép, không làm bài tập và thường xuyên hỏi 'bao giờ hết giờ'.",7
ATTITUDE,TE,GENERAL,"Con học trong tâm trạng tiêu cực, phàn nàn về độ khó của bài và từ chối cố gắng. Thái độ này của {Student} cần được thay đổi ngay.",8
ATTITUDE,TE,GENERAL,"{Student} hay bị phân tâm bởi các yếu tố xung quanh, không duy trì được sự tập trung. Cô phải liên tục gọi tên để con quay lại bài.",9
ATTITUDE,TE,GENERAL,Hôm nay {Student} có thái độ thiếu tôn trọng. Con hay cắt ngang lời giáo viên và không lắng nghe hướng dẫn.,10
ATTITUDE,TRUNG_BINH,GENERAL,{Student} có chú ý nghe giảng nhưng chưa thực sự chủ động trong việc tham gia xây dựng bài. Con cần tích cực hơn nữa để nâng cao hiệu quả học tập.,1
ATTITUDE,TRUNG_BINH,GENERAL,Thái độ học của {Student} hôm nay ở mức trung bình khá. Con nghe giảng đều đặn nhưng thiếu sự nhiệt huyết và tương tác với giáo viên.,2
ATTITUDE,TRUNG_BINH,GENERAL,"Con học với thái độ bình thường, không có gì nổi bật. {Student} làm đúng những gì được yêu cầu nhưng chưa vượt ra ngoài kỳ vọng.",3
ATTITUDE,TRUNG_BINH,GENERAL,{Student} có vẻ hơi thụ động trong giờ học. Con chỉ trả lời khi được gọi tên chứ không tự giác đặt câu hỏi hay phát biểu ý kiến.,4
ATTITUDE,TRUNG_BINH,GENERAL,Hôm nay {Student} học với thái độ ổn định nhưng chưa thật sự say mê. Con cần thêm động lực để thể hiện hết khả năng của mình.,5
ATTITUDE,TRUNG_BINH,GENERAL,Con tập trung nghe giảng nhưng có lúc bị xao nhãng. {Student} cần cải thiện khả năng duy trì sự chú ý trong thời gian dài hơn.,6
ATTITUDE,TRUNG_BINH,GENERAL,"{Student} thể hiện thái độ học tập chấp nhận được, không quá tốt cũng không quá xấu. Con làm bài đầy đủ nhưng thiếu sự tỉ mỉ.",7
ATTITUDE,TRUNG_BINH,GENERAL,Thái độ học của con hôm nay khá bình thường. {Student} tham gia các hoạt động nhưng chưa thực sự nhiệt tình như những buổi trước.,8
ATTITUDE,TRUNG_BINH,GENERAL,{Student} có vẻ hơi mệt mỏi trong giờ học hôm nay. Con vẫn cố gắng theo dõi bài giảng nhưng năng lượng không cao như thường lệ.,9
ATTITUDE,TRUNG_BINH,GENERAL,"Con học với thái độ trung bình, thỉnh thoảng còn bị sao nhãng. {Student} cần tập trung hơn để tiếp thu kiến thức hiệu quả hơn.",10
ATTITUDE,KHA,GENERAL,"{Student} có ý thức học tập tốt, ghi chép bài đầy đủ và trật tự lắng nghe giảng. Con thể hiện sự tiếp thu tích cực trong suốt buổi học.",1
ATTITUDE,KHA,GENERAL,"Hôm nay {Student} học rất có trách nhiệm. Con chuẩn bị bài cũ tốt, làm bài tập đầy đủ và luôn sẵn sàng tham gia các hoạt động trong lớp.",2
ATTITUDE,KHA,GENERAL,"Thái độ học của {Student} rất đáng khen ngợi. Con tập trung cao độ, tích cực ghi chép và không bỏ sót bất kỳ kiến thức nào.",3
ATTITUDE,KHA,GENERAL,{Student} thể hiện sự nhiệt tình và hứng thú với bài học mới. Con chủ động đặt câu hỏi khi chưa hiểu rõ phần nào đó.,4
ATTITUDE,KHA,GENERAL,Con học với thái độ nghiêm túc và có phương pháp. {Student} ghi chép có hệ thống và thường xuyên ôn lại kiến thức cũ.,5
ATTITUDE,KHA,GENERAL,Hôm nay {Student} rất chủ động trong việc học bài mới. Con không ngại thử nghiệm và tự tin đưa ra câu trả lời dù chưa hoàn toàn chắc chắn.,6
ATTITUDE,KHA,GENERAL,"{Student} có thái độ học tập đáng khích lệ. Con luôn đúng giờ, chuẩn bị đồ dùng học tập đầy đủ và tham gia tích cực vào bài giảng.",7
ATTITUDE,KHA,GENERAL,Con thể hiện sự cố gắng rõ rệt trong buổi học hôm nay. {Student} làm hết bài tập được giao và tự giác hỏi thêm khi còn thắc mắc.,8
ATTITUDE,KHA,GENERAL,{Student} học với thái độ nghiêm túc và tập trung. Con biết cách quản lý thời gian làm bài và hoàn thành đúng tiến độ yêu cầu.,9
ATTITUDE,KHA,GENERAL,Thái độ học tập của {Student} hôm nay rất tích cực. Con không chỉ nghe giảng mà còn chủ động ghi chú những điểm quan trọng.,10
ATTITUDE,GIOI,GENERAL,"{Student} học rất tập trung, tiếp thu bài nhanh và luôn chủ động hỏi lại khi chưa hiểu rõ. Con thể hiện sự say mê học tập đáng ngưỡng mộ.",1
ATTITUDE,GIOI,GENERAL,Hôm nay {Student} thể hiện thái độ học tập xuất sắc. Con không chỉ làm bài tốt mà còn giúp đỡ các bạn khác trong nhóm.,2
ATTITUDE,GIOI,GENERAL,{Student} có thái độ học tập rất chuyên nghiệp. Con chuẩn bị kỹ càng cho từng buổi học và luôn hoàn thành bài tập trước deadline.,3
ATTITUDE,GIOI,GENERAL,Con học với sự nhiệt huyết cao độ và tinh thần trách nhiệm tốt. {Student} là tấm gương về thái độ học tập cho các bạn khác.,4
ATTITUDE,GIOI,GENERAL,{Student} thể hiện sự chủ động và tích cực đáng khen. Con không chỉ nghe giảng mà còn tự nghiên cứu thêm tài liệu bổ trợ.,5
ATTITUDE,GIOI,GENERAL,Thái độ học tập của {Student} hôm nay thật ấn tượng. Con tập trung cao độ và có khả năng tự điều chỉnh khi gặp khó khăn.,6
ATTITUDE,GIOI,GENERAL,{Student} học với tư duy tích cực và không ngại thử thách. Con luôn tìm cách tiếp cận bài toán từ nhiều góc độ khác nhau.,7
ATTITUDE,GIOI,GENERAL,Con thể hiện thái độ học tập nghiêm túc và có phương pháp rõ ràng. {Student} biết cách tự đánh giá và cải thiện bản thân.,8
ATTITUDE,GIOI,GENERAL,{Student} có động lực học tập mạnh mẽ và kiên trì. Con không bỏ cuộc ngay cả khi đối mặt với những phần bài khó.,9
ATTITUDE,GIOI,GENERAL,Hôm nay {Student} thể hiện sự tập trung đáng kinh ngạc. Con theo sát từng phần bài giảng và đặt ra những câu hỏi rất có chất lượng.,10
ATTITUDE,XUAT_SAC,GENERAL,"Thái độ học tập của {Student} là tấm gương sáng cho cả lớp. Con học với niềm say mê lớn, luôn tìm tòi và khám phá kiến thức mới một cách chủ động.",1
ATTITUDE,XUAT_SAC,GENERAL,{Student} thể hiện thái độ học tập đỉnh cao hôm nay. Con không chỉ hoàn thành xuất sắc nhiệm vụ cá nhân mà còn tạo động lực tích cực cho cả nhóm.,2
ATTITUDE,XUAT_SAC,GENERAL,Con học với sự nhiệt huyết và tập trung tuyệt đối. {Student} luôn có những câu hỏi sâu sắc và ý tưởng sáng tạo độc đáo trong giờ học.,3
ATTITUDE,XUAT_SAC,GENERAL,{Student} thể hiện tinh thần lãnh đạo và trách nhiệm cao. Con không chỉ học giỏi mà còn nhiệt tình hướng dẫn các bạn khác.,4
ATTITUDE,XUAT_SAC,GENERAL,"Thái độ học của {Student} hôm nay thật đáng ngưỡng mộ. Con tập trung tuyệt đối, tiếp thu nhanh và còn chủ động nghiên cứu thêm ngoài giáo trình.",5
ATTITUDE,XUAT_SAC,GENERAL,{Student} học với tư duy phản biện và sáng tạo đặc biệt. Con không chỉ tiếp thu mà còn đặt ra những góc nhìn mới mẻ về vấn đề.,6
ATTITUDE,XUAT_SAC,GENERAL,"Con thể hiện sự kỷ luật tự giác và động lực nội tại mạnh mẽ. {Student} là người học đích thực, luôn khao khát mở rộng kiến thức.",7
ATTITUDE,XUAT_SAC,GENERAL,"{Student} có thái độ học tập đỉnh cao, kết hợp hoàn hảo giữa tập trung, sáng tạo và khả năng làm việc nhóm. Cô rất tự hào về con.",8
ATTITUDE,XUAT_SAC,GENERAL,Hôm nay {Student} thể hiện sự trưởng thành vượt bậc trong học tập. Con tự quản lý thời gian tốt và biết cách tối ưu hóa hiệu quả học.,9
ATTITUDE,XUAT_SAC,GENERAL,"{Student} học với thái độ chuyên nghiệp như một học giả nhí. Con tỉ mỉ, chu đáo và luôn hướng tới sự hoàn hảo trong từng chi tiết.",10
ATTITUDE,TE,READING,"{Student} chưa tập trung trong phần Reading, con thường xuyên bỏ lỡ các ý chính và cần cô nhắc nhở nhiều.",1
ATTITUDE,TE,READING,"Ở phần Đọc, {Student} tỏ ra khá uể oải và chưa chủ động tra cứu từ mới khi gặp khó khăn.",2
ATTITUDE,TE,READING,"Con có thái độ thiếu kiên nhẫn khi đọc các đoạn văn dài, dẫn đến việc làm sai nhiều câu hỏi đọc hiểu.",3
ATTITUDE,TE,READING,"Hôm nay {Student} không tập trung vào bài đọc, con hay nói chuyện riêng hoặc làm việc khác trong giờ.",4
ATTITUDE,TE,READING,"Thái độ của {Student} trong phần Reading còn khá hời hợt, con chỉ đọc lướt mà không suy nghĩ kỹ.",5
ATTITUDE,TE,READING,"Con chưa có ý thức tự giác làm bài đọc, cần giáo viên phải kèm cặp sát sao từng câu.",6
ATTITUDE,TE,READING,"{Student} thường xuyên mất tập trung khi gặp từ mới, con dễ nản lòng và không muốn tiếp tục đọc.",7
ATTITUDE,TE,READING,"Phần Reading của {Student} hôm nay chưa tốt do con thiếu sự chuẩn bị và không chú ý nghe giảng.",8
ATTITUDE,TE,READING,"Con tỏ thái độ không hợp tác khi được yêu cầu dịch bài hoặc trả lời câu hỏi đọc hiểu.",9
ATTITUDE,TE,READING,"Hôm nay {Student} rất lười đọc, con hay né tránh các bài tập khó và không tập trung vào văn bản.",10
ATTITUDE,TRUNG_BINH,READING,"{Student} có thái độ học tập ổn định trong phần Reading, tuy nhiên con cần chú ý hơn đến các tiểu tiết trong bài đọc.",1
ATTITUDE,TRUNG_BINH,READING,"Trong phần Đọc, {Student} tỏ ra khá hợp tác nhưng đôi lúc vẫn còn bị xao nhãng bởi các yếu tố bên ngoài.",2
ATTITUDE,TRUNG_BINH,READING,"Con có ý thức làm bài đọc nhưng tốc độ còn hơi chậm, {Student} cần rèn luyện thêm sự tập trung.",3
ATTITUDE,TRUNG_BINH,READING,"Thái độ của {Student} khi đọc bài khá bình thường, chưa thực sự thể hiện sự hào hứng hay chủ động tìm tòi.",4
ATTITUDE,TRUNG_BINH,READING,"Hôm nay con học phần Reading với thái độ chấp nhận được, cần cô nhắc nhở đôi lần để quay lại mạch bài.",5
ATTITUDE,TRUNG_BINH,READING,"{Student} tập trung ở mức trung bình trong giờ Đọc, con cần nỗ lực hơn để nắm bắt từ mới nhanh hơn.",6
ATTITUDE,TRUNG_BINH,READING,"Ý thức tự giác của con trong phần Reading hôm nay chỉ ở mức vừa phải, chưa thực sự bứt phá.",7
ATTITUDE,TRUNG_BINH,READING,"{Student} làm bài đọc đầy đủ nhưng đôi khi còn làm cho xong chuyện mà chưa suy nghĩ sâu.",8
ATTITUDE,TRUNG_BINH,READING,"Con có thái độ ôn hòa trong giờ học Reading, nhưng cần thêm một chút nhiệt huyết và sôi nổi hơn.",9
ATTITUDE,TRUNG_BINH,READING,"Hôm nay {Student} học phần Đọc hơi thụ động, con nghe giảng bài nhưng ít đóng góp ý kiến cá nhân.",10
ATTITUDE,KHA,READING,"{Student} có ý thức học tập tốt trong phần Reading, con chủ động tra từ điển khi gặp cấu trúc khó.",1
ATTITUDE,KHA,READING,"Thái độ của {Student} trong giờ Đọc rất tích cực, con ghi chép cẩn thận các từ vựng mới được học.",2
ATTITUDE,KHA,READING,"Con thể hiện sự kiên trì khi đọc các đoạn văn dài và luôn cố gắng trả lời hết các câu hỏi.",3
ATTITUDE,KHA,READING,"Hôm nay {Student} rất tập trung vào bài đọc, con theo kịp tiến độ và tham gia thảo luận cùng cô.",4
ATTITUDE,KHA,READING,"Ý thức tự giác của {Student} trong phần Reading rất đáng khen, con không cần cô nhắc nhở nhiều.",5
ATTITUDE,KHA,READING,"Con có thái độ làm việc nghiêm túc, {Student} luôn suy nghĩ kỹ trước khi đưa ra đáp án cho bài đọc hiểu.",6
ATTITUDE,KHA,READING,"{Student} tỏ ra hào hứng với chủ đề bài đọc hôm nay và đặt nhiều câu hỏi hay về nội dung văn bản.",7
ATTITUDE,KHA,READING,"Thái độ học tập chuyên nghiệp của {Student} giúp phần Reading đạt hiệu quả cao và tiết kiệm thời gian.",8
ATTITUDE,KHA,READING,"Con lắng nghe hướng dẫn về kỹ năng đọc lướt (skimming) rất chăm chú và áp dụng tốt vào thực hành.",9
ATTITUDE,KHA,READING,"Hôm nay {Student} thể hiện sự cầu tiến, con luôn muốn tìm hiểu sâu hơn nghĩa bóng của các cụm từ.",10
ATTITUDE,GIOI,READING,"{Student} học phần Reading với tinh thần say mê, con thẩm thấu nội dung nhanh và rất chủ động.",1
ATTITUDE,GIOI,READING,"Thái độ của {Student} trong giờ Đọc hôm nay thật tuyệt vời, con thể hiện sự yêu thích ngôn ngữ rõ rệt.",2
ATTITUDE,GIOI,READING,"Con tập trung tuyệt đối vào văn bản, {Student} có khả năng tự giải quyết các bài đọc khó một cách tự tin.",3
ATTITUDE,GIOI,READING,"Hôm nay {Student} thể hiện sự thông minh và nhạy bén khi phân tích các ý chính của bài đọc.",4
ATTITUDE,GIOI,READING,"Ý thức học tập của {Student} là tấm gương sáng, con không ngại thử thách với những văn bản chuyên ngành.",5
ATTITUDE,GIOI,READING,"Con rèn luyện kỹ năng Reading một cách bền bỉ và luôn hướng tới sự hoàn thiện trong từng câu trả lời.",6
ATTITUDE,GIOI,READING,"{Student} chủ động tìm hiểu các ngữ cảnh văn hóa trong bài đọc, thái độ này rất đáng khích lệ.",7
ATTITUDE,GIOI,READING,"Thái độ học tập của con hôm nay xuất sắc, {Student} hoàn thành bài đọc nhanh và chính xác tuyệt đối.",8
ATTITUDE,GIOI,READING,"Con dành sự tập trung cao độ để nghiên cứu cấu trúc câu phức, {Student} rất chăm chỉ và nghiêm túc.",9
ATTITUDE,GIOI,READING,"Hôm nay {Student} thể hiện sự vượt trội về thái độ học tập, con luôn sẵn sàng giúp bạn hiểu bài đọc.",10
ATTITUDE,XUAT_SAC,READING,"{Student} thể hiện tinh thần tự học tuyệt vời, con không chỉ đọc hiểu mà còn phân tích sâu sắc các tầng ý nghĩa.",1
ATTITUDE,XUAT_SAC,READING,"Thái độ học tập phần Reading của {Student} là hình mẫu lý tưởng, con luôn chuẩn bị bài trước khi đến lớp.",2
ATTITUDE,XUAT_SAC,READING,"Con có niềm đam mê đặc biệt với việc đọc sách tiếng Anh, {Student} luôn tìm kiếm những bài đọc ngoài giáo trình.",3
ATTITUDE,XUAT_SAC,READING,"Hôm nay {Student} thể hiện sự tập trung cao độ và đóng góp nhiều góc nhìn thú vị về văn bản cho cả lớp.",4
ATTITUDE,XUAT_SAC,READING,"Ý thức làm bài của {Student} cực kỳ cao, con tỉ mỉ soát lỗi và không bỏ sót bất kỳ chi tiết nhỏ nào.",5
ATTITUDE,XUAT_SAC,READING,"Con rèn luyện kỹ năng đọc hiểu với thái độ chuyên nghiệp, {Student} luôn hướng tới việc nâng cao vốn từ vựng.",6
ATTITUDE,XUAT_SAC,READING,"{Student} rất chủ động trong việc giúp đỡ các bạn khác cùng tiến bộ trong các bài tập đọc hiểu nhóm.",7
ATTITUDE,XUAT_SAC,READING,"Thái độ của {Student} trong giờ học hôm nay xuất sắc, con vượt qua mọi giới hạn và hoàn thành bài đọc khó nhanh chóng.",8
ATTITUDE,XUAT_SAC,READING,"Con thể hiện sự kỷ luật và kiên nhẫn đáng kinh ngạc khi đối mặt với các dạng đề Reading phức tạp.",9
ATTITUDE,XUAT_SAC,READING,"Hôm nay {Student} là ngôi sao của phần Reading, thái độ tích cực của con lan tỏa năng lượng tốt cho cả lớp.",10
ATTITUDE,TE,LISTENING,"{Student} lười nghe, thường xuyên tháo tai nghe hoặc làm việc riêng khi đến phần luyện nghe.",1
ATTITUDE,TE,LISTENING,"Con tỏ thái độ chán nản, không muốn nghe và hay phàn nàn rằng bài nghe quá khó.",2
ATTITUDE,TE,LISTENING,"{Student} không tập trung nghe giảng, hay quay sang nói chuyện với bạn khi đang nghe băng.",3
ATTITUDE,TE,LISTENING,"Con thể hiện sự thiếu kiên nhẫn, thường xuyên đòi bỏ qua phần nghe hoặc đoán bừa đáp án.",4
ATTITUDE,TE,LISTENING,"Hôm nay {Student} rất mất tập trung, con không theo kịp mạch bài nghe và tỏ ra thờ ơ.",5
ATTITUDE,TRUNG_BINH,LISTENING,"{Student} có thái độ học tập ổn định trong phần luyện nghe, tuy nhiên con cần rèn luyện thêm khả năng tập trung cao độ.",1
ATTITUDE,TRUNG_BINH,LISTENING,"Trong giờ Listening, {Student} tỏ ra khá hợp tác nhưng đôi lúc vẫn chưa thực sự chủ động ghi chú thông tin.",2
ATTITUDE,TRUNG_BINH,LISTENING,"Con có ý thức nghe giảng nhưng tốc độ phản xạ còn hơi chậm, {Student} cần tích cực tham gia các bài tập nhóm hơn.",3
ATTITUDE,TRUNG_BINH,LISTENING,"Thái độ của {Student} khi nghe bài khá bình thường, con làm đúng yêu cầu nhưng chưa thể hiện sự bứt phá.",4
ATTITUDE,TRUNG_BINH,LISTENING,"Hôm nay {Student} học phần nghe với thái độ chấp nhận được, cần được cô khích lệ thường xuyên.",5
ATTITUDE,TRUNG_BINH,LISTENING,"{Student} tập trung ở mức trung bình trong giờ Nghe, con cần nỗ lực hơn để nắm bắt các âm đuôi.",6
ATTITUDE,TRUNG_BINH,LISTENING,"Ý thức tự giác của con trong phần Listening hôm nay ở mức vừa phải, chưa thực sự tập trung hoàn toàn.",7
ATTITUDE,TRUNG_BINH,LISTENING,"{Student} hoàn thành các bài nghe cơ bản đầy đủ nhưng đôi khi còn bị xao nhãng bởi tiếng ồn xung quanh.",8
ATTITUDE,TRUNG_BINH,LISTENING,"Con có thái độ ôn hòa trong giờ Listening, nhưng cần thêm một chút nhiệt huyết và sôi nổi hơn khi trả lời câu hỏi.",9
ATTITUDE,TRUNG_BINH,LISTENING,"Hôm nay {Student} học phần Nghe hơi thụ động, con nghe bài đầy đủ nhưng ít khi chủ động đặt câu hỏi.",10
ATTITUDE,KHA,LISTENING,"{Student} có ý thức học tập rất tốt trong phần Listening, con luôn sẵn sàng tập trung vào các đoạn hội thoại khó.",1
ATTITUDE,KHA,LISTENING,"Thái độ của {Student} trong giờ Nghe rất tích cực, con chủ động ghi chép các cấu trúc câu mới nghe được.",2
ATTITUDE,KHA,LISTENING,"Con thể hiện sự kiên trì khi luyện nghe các bài hội thoại dài và không ngại nghe lại nhiều lần.",3
ATTITUDE,KHA,LISTENING,"Hôm nay {Student} rất tập trung vào bài nghe, con bắt nhịp nhanh với nội dung và trả lời câu hỏi chính xác.",4
ATTITUDE,KHA,LISTENING,"Ý thức tự giác của {Student} trong phần Listening rất đáng khen, con luôn chuẩn bị sẵn sàng tâm thế để nghe.",5
ATTITUDE,KHA,LISTENING,"Con có thái độ rèn luyện nghiêm túc, {Student} luôn cố gắng phân tích các từ khóa để hiểu nội dung sâu hơn.",6
ATTITUDE,KHA,LISTENING,"{Student} tỏ ra hào hứng với các bài luyện nghe qua bài hát và phim, thái độ này giúp con tiến bộ nhanh.",7
ATTITUDE,KHA,LISTENING,"Thái độ học tập chuyên nghiệp của {Student} giúp phần Listening đạt hiệu quả cao và không khí lớp học sôi nổi.",8
ATTITUDE,KHA,LISTENING,"Con lắng nghe hướng dẫn về cách nhận diện âm nối rất chăm chú và áp dụng tốt vào các bài tập thực hành.",9
ATTITUDE,KHA,LISTENING,"Hôm nay {Student} thể hiện sự cầu tiến trong kỹ năng nghe, con luôn muốn thử thách với các bài nghe tốc độ nhanh.",10
ATTITUDE,GIOI,LISTENING,"{Student} rất tập trung trong phần nghe, con luôn cố gắng nắm bắt từ khóa và hoàn thành bài tập rất nhanh.",1
